window_type,output_shape,radius,ssim_score
box,same,1,3.0792e-01
box,same,2,3.0255e-01
box,same,3,3.0114e-01
box,same,4,3.0198e-01
box,same,5,3.0370e-01
box,same,6,3.0372e-01
box,same,7,3.0426e-01
box,same,8,3.0473e-01
box,same,9,3.0548e-01
box,valid,1,3.0481e-01
box,valid,2,2.9246e-01
box,valid,3,2.8842e-01
box,valid,4,2.8468e-01
box,valid,5,2.8233e-01
box,valid,6,2.8057e-01
box,valid,7,2.7779e-01
box,valid,8,2.7543e-01
box,valid,9,2.7026e-01
gauss,same,1,3.2620e-01
gauss,same,2,3.1187e-01
gauss,same,3,3.0651e-01
gauss,same,4,3.0240e-01
gauss,same,5,3.0249e-01
gauss,same,6,3.0083e-01
gauss,same,7,3.0161e-01
gauss,same,8,3.0451e-01
gauss,same,9,3.0425e-01
gauss,valid,1,3.2187e-01
gauss,valid,2,2.9847e-01
gauss,valid,3,2.8623e-01
gauss,valid,4,2.7745e-01
gauss,valid,5,2.7075e-01
gauss,valid,6,2.6759e-01
gauss,valid,7,2.6113e-01
gauss,valid,8,2.5558e-01
gauss,valid,9,2.5204e-01
