,window_type,output_shape,radius,seed,ssim_score
0,gauss,same,1,0,3.2649e-01
1,gauss,same,1,1,3.2422e-01
2,gauss,same,1,2,3.2415e-01
3,gauss,same,1,3,3.2654e-01
4,gauss,same,1,4,3.2620e-01
5,gauss,same,2,0,3.1187e-01
6,gauss,same,2,1,3.1048e-01
7,gauss,same,2,2,3.1161e-01
8,gauss,same,2,3,3.1224e-01
9,gauss,same,2,4,3.1464e-01
10,gauss,same,3,0,3.0548e-01
11,gauss,same,3,1,3.0698e-01
12,gauss,same,3,2,3.0651e-01
13,gauss,same,3,3,3.0759e-01
14,gauss,same,3,4,3.0450e-01
15,gauss,same,4,0,3.0195e-01
16,gauss,same,4,1,2.6586e-01
17,gauss,same,4,2,3.0240e-01
18,gauss,same,4,3,3.0571e-01
19,gauss,same,4,4,3.0606e-01
20,gauss,same,5,0,3.0249e-01
21,gauss,same,5,1,3.0140e-01
22,gauss,same,5,2,3.0530e-01
23,gauss,same,5,3,3.0209e-01
24,gauss,same,5,4,3.0400e-01
25,gauss,same,6,0,3.0000e-01
26,gauss,same,6,1,2.9774e-01
27,gauss,same,6,2,3.0691e-01
28,gauss,same,6,3,3.0083e-01
29,gauss,same,6,4,3.0334e-01
30,gauss,same,7,0,3.0159e-01
31,gauss,same,7,1,3.0161e-01
32,gauss,same,7,2,3.0681e-01
33,gauss,same,7,3,3.0042e-01
34,gauss,same,7,4,3.0732e-01
35,gauss,same,8,0,3.0311e-01
36,gauss,same,8,1,3.0451e-01
37,gauss,same,8,2,3.0566e-01
38,gauss,same,8,3,2.8586e-01
39,gauss,same,8,4,3.0774e-01
40,gauss,same,9,0,3.0124e-01
41,gauss,same,9,1,3.0398e-01
42,gauss,same,9,2,3.0554e-01
43,gauss,same,9,3,3.0542e-01
44,gauss,same,9,4,3.0425e-01
45,gauss,valid,1,0,3.2187e-01
46,gauss,valid,1,1,3.1823e-01
47,gauss,valid,1,2,3.1981e-01
48,gauss,valid,1,3,3.2196e-01
49,gauss,valid,1,4,3.2335e-01
50,gauss,valid,2,0,2.9847e-01
51,gauss,valid,2,1,2.9681e-01
52,gauss,valid,2,2,2.9712e-01
53,gauss,valid,2,3,3.0050e-01
54,gauss,valid,2,4,3.0117e-01
55,gauss,valid,3,0,2.8292e-01
56,gauss,valid,3,1,2.8491e-01
57,gauss,valid,3,2,2.8709e-01
58,gauss,valid,3,3,2.8957e-01
59,gauss,valid,3,4,2.8623e-01
60,gauss,valid,4,0,2.7494e-01
61,gauss,valid,4,1,2.7720e-01
62,gauss,valid,4,2,2.7892e-01
63,gauss,valid,4,3,2.7745e-01
64,gauss,valid,4,4,2.8106e-01
65,gauss,valid,5,0,2.6314e-01
66,gauss,valid,5,1,2.6802e-01
67,gauss,valid,5,2,2.7205e-01
68,gauss,valid,5,3,2.7075e-01
69,gauss,valid,5,4,2.7216e-01
70,gauss,valid,6,0,2.5698e-01
71,gauss,valid,6,1,2.6303e-01
72,gauss,valid,6,2,2.6759e-01
73,gauss,valid,6,3,2.6800e-01
74,gauss,valid,6,4,2.6940e-01
75,gauss,valid,7,0,2.5851e-01
76,gauss,valid,7,1,2.6068e-01
77,gauss,valid,7,2,2.6146e-01
78,gauss,valid,7,3,2.6113e-01
79,gauss,valid,7,4,2.6355e-01
80,gauss,valid,8,0,2.5572e-01
81,gauss,valid,8,1,2.5558e-01
82,gauss,valid,8,2,2.3260e-01
83,gauss,valid,8,3,2.5711e-01
84,gauss,valid,8,4,2.5551e-01
85,gauss,valid,9,0,2.5066e-01
86,gauss,valid,9,1,2.5298e-01
87,gauss,valid,9,2,2.5466e-01
88,gauss,valid,9,3,2.5094e-01
89,gauss,valid,9,4,2.5204e-01
90,box,same,1,0,3.0732e-01
91,box,same,1,1,3.0792e-01
92,box,same,1,2,3.0632e-01
93,box,same,1,3,3.1100e-01
94,box,same,1,4,3.1083e-01
95,box,same,2,0,2.9860e-01
96,box,same,2,1,3.0255e-01
97,box,same,2,2,3.0349e-01
98,box,same,2,3,3.0153e-01
99,box,same,2,4,3.0337e-01
100,box,same,3,0,2.9492e-01
101,box,same,3,1,3.0112e-01
102,box,same,3,2,3.0404e-01
103,box,same,3,3,3.0114e-01
104,box,same,3,4,3.0445e-01
105,box,same,4,0,3.0198e-01
106,box,same,4,1,2.9908e-01
107,box,same,4,2,4.7802e-14
108,box,same,4,3,3.0354e-01
109,box,same,4,4,3.0738e-01
110,box,same,5,0,3.0256e-01
111,box,same,5,1,3.0121e-01
112,box,same,5,2,3.0677e-01
113,box,same,5,3,3.0370e-01
114,box,same,5,4,3.0655e-01
115,box,same,6,0,3.0372e-01
116,box,same,6,1,3.0205e-01
117,box,same,6,2,3.0437e-01
118,box,same,6,3,3.0303e-01
119,box,same,6,4,3.0669e-01
120,box,same,7,0,3.0426e-01
121,box,same,7,1,3.0309e-01
122,box,same,7,2,3.0729e-01
123,box,same,7,3,3.0337e-01
124,box,same,7,4,3.0486e-01
125,box,same,8,0,3.0298e-01
126,box,same,8,1,3.0473e-01
127,box,same,8,2,3.0666e-01
128,box,same,8,3,3.0420e-01
129,box,same,8,4,3.0822e-01
130,box,same,9,0,3.0557e-01
131,box,same,9,1,3.0360e-01
132,box,same,9,2,3.0548e-01
133,box,same,9,3,3.0474e-01
134,box,same,9,4,3.0718e-01
135,box,valid,1,0,3.0324e-01
136,box,valid,1,1,3.0214e-01
137,box,valid,1,2,3.0490e-01
138,box,valid,1,3,3.0481e-01
139,box,valid,1,4,3.0914e-01
140,box,valid,2,0,2.9102e-01
141,box,valid,2,1,2.9159e-01
142,box,valid,2,2,2.9404e-01
143,box,valid,2,3,2.9246e-01
144,box,valid,2,4,2.9549e-01
145,box,valid,3,0,2.8766e-01
146,box,valid,3,1,2.8590e-01
147,box,valid,3,2,2.9045e-01
148,box,valid,3,3,2.8999e-01
149,box,valid,3,4,2.8842e-01
150,box,valid,4,0,2.8244e-01
151,box,valid,4,1,2.8442e-01
152,box,valid,4,2,2.8468e-01
153,box,valid,4,3,2.8527e-01
154,box,valid,4,4,2.8589e-01
155,box,valid,5,0,2.7991e-01
156,box,valid,5,1,2.8327e-01
157,box,valid,5,2,2.8332e-01
158,box,valid,5,3,2.7996e-01
159,box,valid,5,4,2.8233e-01
160,box,valid,6,0,2.8147e-01
161,box,valid,6,1,2.8057e-01
162,box,valid,6,2,2.7334e-01
163,box,valid,6,3,2.8066e-01
164,box,valid,6,4,2.8052e-01
165,box,valid,7,0,2.7789e-01
166,box,valid,7,1,2.7742e-01
167,box,valid,7,2,2.7497e-01
168,box,valid,7,3,2.7831e-01
169,box,valid,7,4,2.7779e-01
170,box,valid,8,0,2.7543e-01
171,box,valid,8,1,2.7623e-01
172,box,valid,8,2,2.7822e-01
173,box,valid,8,3,2.7535e-01
174,box,valid,8,4,1.1607e-04
175,box,valid,9,0,2.7026e-01
176,box,valid,9,1,2.7305e-01
177,box,valid,9,2,2.7090e-01
178,box,valid,9,3,2.6979e-01
179,box,valid,9,4,2.6661e-01
